Names,Ages,Department,Salary,Experience,Tax,Net Salary
Owen,50,CLearner,4874,25,10%,4386.6
Henry,45,Technetion,4701,20,10%,4230.9
Liam,44,Bodyguard,4614,18,10%,4152.6
Jackson,31,Technetion,3997,11,10%,3597.3
Grace,29,CLearner,3983,11,10%,3584.7
Emma,21,CLearner,3735,16,10%,3361.5
Ella,50,Bodyguard,3653,4,10%,3287.7
James,29,Technetion,3618,12,10%,3256.2
Evelyn,39,Random Worker,3584,21,10%,3225.6
Wyatt,49,CLearner,3530,3,10%,3177.0
Emily,40,Random Worker,3509,8,10%,3158.1
Jacob,58,Bodyguard,3312,8,10%,2980.8
Harper,59,Random Worker,3266,30,10%,2939.4
Noah,49,CLearner,3077,35,10%,2769.3
Sebastian,41,Bodyguard,2989,6,10%,2690.1
William,23,Random Worker,2952,26,10%,2656.8
Daniel,25,Bodyguard,2939,5,10%,2645.1
Amelia,20,Bodyguard,2924,34,10%,2631.6
Ava,25,Cooker,2853,11,10%,2567.7
Lucas,34,CLearner,2661,16,10%,2394.9
Alexander,50,Cooker,2641,18,10%,2376.9
Abigail,58,Random Worker,2636,29,10%,2372.4
Sophia,59,Cooker,2542,29,10%,2287.8
Aiden,58,Bodyguard,2419,9,10%,2177.1
David,58,CLearner,2418,31,10%,2176.2
Samuel,34,CLearner,2416,3,10%,2174.4
Michael,26,CLearner,2288,31,10%,2059.2
Logan,22,Random Worker,2266,33,10%,2039.4
Luke,52,CLearner,2247,4,10%,2022.3
Charlotte,42,Bodyguard,2197,28,10%,1977.3
Chloe,25,Technetion,2001,4,10%,1800.9
Elizabeth,52,Technetion,1599,4,10%,1439.1
Carter,58,Technetion,1548,31,10%,1393.2
Ethan,45,CLearner,1521,16,10%,1368.9
Benjamin,47,Bodyguard,1510,33,10%,1359.0
John,55,Bodyguard,1505,14,10%,1354.5
Olivia,41,Bodyguard,1393,26,10%,1253.7
Mia,38,CLearner,1383,13,10%,1244.7
Zoey,56,CLearner,1273,25,10%,1145.7
Elijah,34,Random Worker,1143,29,10%,1028.7
Joseph,28,Cooker,1137,7,10%,1023.3
Hannah,53,Random Worker,1133,0,10%,1019.7
Oliver,34,Technetion,1037,8,10%,933.3
Isabella,49,Technetion,1000,31,10%,900.0
Mason,29,CLearner,1000,5,10%,900.0
Jack,20,Technetion,1000,4,10%,900.0
Matthew,33,Random Worker,1000,1,10%,900.0
Lily,48,Technetion,1000,4,10%,900.0
